,amadeus_code,rates,lat,lon,location_cell,tripadvisor_amenities,tripadvisor_name
69,FNNYCLMF,303.3692307692308,40.70604,-74.00502,58,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Fairfield Inn New York Manhattan/Financial District
70,FNNYCTMF,395.6842105263158,40.75106,-73.98448,61,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Multilingual Staff', 'Dry Cleaning']",Fairfield Inn & Suites New York Manhattan/Fifth Avenue
71,FNNYCTWF,370.89473684210526,40.7462,-73.99096,55,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Breakfast included', 'Business Center with Internet Access', 'Multilingual Staff', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Fairfield Inn & Suites New York Manhattan/Chelsea
72,FSNYC009,1104.404761904762,40.71249,-74.00905,73,"['Pool', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Conference Facilities', 'Airport Transportation', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Pool', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool']",Four Seasons Hotel New York Downtown
73,GDNYCBRO,179.62499999999997,40.74439,-73.98891,90,"['Breakfast included', 'Breakfast included', 'Airport Transportation', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Babysitting', 'Air Conditioning', 'Tennis Court']",Broadway Plaza Hotel
74,GDNYCH32,312.92452830188677,40.74628,-73.98341,7,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Air Conditioning']",Hotel 32 32
75,GDNYCHRH,195.73000000000002,40.75553,-73.99759,118,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Multilingual Staff', 'Laundry Service', 'Breakfast Available', 'Air Conditioning']",Hudson River Hotel
76,GDNYCMIM,147.9556,40.71414,-73.99379,43,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Room Service', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning']",Hotel Mimosa
77,GGNYCSGH,787.1442307692307,40.7217,-74.00445,27,"['Room Service', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",Soho Grand Hotel
78,GIEWR198,180.8781962025313,40.61543,-74.17328,33,"['Pool', 'Free Parking', 'Room Service', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free Parking', 'Business Center with Internet Access', 'Room Service', 'Shuttle Bus Service', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Heated pool', 'Indoor pool']",Hilton Garden Inn New York/Staten Island
79,GIISP963,228.83359447004605,40.75027,-73.93688,60,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Breakfast Available', 'Air Conditioning', 'Microwave', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Hilton Garden Inn Long Island City Queensboro Bridge
80,GIJFK321,230.1786754966888,40.66529,-73.80603,24,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Meeting Rooms', 'Shuttle Bus Service', 'Multilingual Staff', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Self-Serve Laundry', 'Microwave', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Hilton Garden Inn Queens / JFK Airport
81,GILGA212,380.5954609929078,40.74642,-73.99151,55,"['Room Service', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Restaurant', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",Hilton Garden Inn New York/Manhattan-Chelsea
82,GILGA963,391.55890547263704,40.75663,-73.96938,3,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Restaurant', 'Room Service', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",Hilton Garden Inn New York/Manhattan-Midtown East
83,GINYC302,220.81523076923074,40.75448,-73.9936,78,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Business Center with Internet Access', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Hilton Garden Inn New York Times Square South
84,GINYC483,315.4090566037736,40.76439,-73.9832,23,"['Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free Internet', 'Restaurant', 'Business Center with Internet Access', 'Laundry Service', 'Dry Cleaning', 'Meeting Rooms', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Restaurant']",Hilton Garden Inn New York/Central Park South-Midtown West
85,GINYC774,291.17474576271195,40.70283,-74.01218,53,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Business Center with Internet Access', 'Breakfast Available', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Hilton Garden Inn NYC Financial Center/Manhattan Downtown
86,GINYC790,313.4981598062957,40.76106,-73.98703,52,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Hilton Garden Inn Times Square
87,GVNYC042,656.9735169491526,40.74392,-73.98415,92,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Spa', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Outdoor pool']",Gansevoort Park Avenue NYC
88,GVNYC707,647.5376744186032,40.73354,-74.01031,71,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Breakfast Available', 'Meeting Rooms', 'Banquet Room', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Outdoor pool']",Gansevoort Meatpacking NYC
89,HGNYC454,337.0134715025905,40.75427,-73.99308,78,"['Free Internet', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Microwave', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']","Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY"
90,HHNYC402,427.1778125000001,40.71153,-74.01054,73,"['Pool', 'Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free Internet', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Heated pool', 'Indoor pool']",Millennium Hilton New York Downtown
91,HHNYC507,393.9061971830986,40.76206,-73.97899,88,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Self-Serve Laundry', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",New York Hilton Midtown
92,HHNYC554,261.7563636363637,40.6898,-73.9882,95,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Hilton Brooklyn New York
93,HHNYC986,415.9276499999999,40.74911,-73.9721,79,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Hilton New York Grand Central
94,HHNYCHUN,686.489885057471,40.75056,-73.96953,79,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Indoor pool']",Millennium Hilton New York One UN Plaza
95,HIJFK47B,188.55443037974686,40.67776,-73.98396,6,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Laundry Service', 'Multilingual Staff']",Holiday Inn Express Brooklyn
96,HIJFK816,202.4166666666665,40.72659,-73.90645,30,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Shuttle Bus Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Hot Tub', 'Tennis Court', 'Fitness Center with Gym / Workout Room']",Holiday Inn Express Queens - Maspeth
97,HINYC596,251.94117647058823,40.70893,-74.00902,102,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Multilingual Staff', 'Dry Cleaning', 'Laundry Service', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room']",Holiday Inn New York City - Wall Street
98,HINYC9C1,268.2549019607843,40.70541,-74.00705,58,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Multilingual Staff', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Holiday Inn Express New York City-Wall Street
99,HINYCB36,249.81578947368422,40.68739,-73.98265,65,"['Pool', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Self-Serve Laundry', 'Conference Facilities', 'Banquet Room', 'Air Conditioning', 'Refrigerator in room', 'Pool', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool']",Holiday Inn Brooklyn Downtown
100,HINYCC4E,161.925,40.58756,-74.19089,19,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Free Parking', 'Business Center with Internet Access', 'Breakfast included', 'Multilingual Staff', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Fitness Center with Gym / Workout Room', 'Hot Tub']",Holiday Inn Express Staten Island West
101,HINYCD35,331.196,40.75526,-73.99172,15,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Holiday Inn New York City - Times Square
102,HINYCE8C,284.2,40.7183,-73.98623,62,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",Holiday Inn NYC - Lower East Side
103,HINYCEDE,202.9833333333334,40.81814,-73.9304,49,"['$168 - $250 (Based on Average Rates for a Standard Room) ', '85 ', 'TripAdvisor is proud to partner with Booking.com, Hotels.com, Expedia, Travelocity, Orbitz and IHG so you can book your Holiday Inn Express - Bronx NYC - Stadium Area reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers. ', 'United States >', 'New York >', 'Bronx ']",Holiday Inn Express - Bronx NYC - Stadium Area
104,HINYCEED,206.1578947368421,40.7211,-73.81777,59,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Free Parking', 'Room Service', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Shuttle Bus Service', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Holiday Inn New York JFK Airport Area
105,HJLGA294,188.97090909090912,40.75685,-73.94198,9,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Breakfast included', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Howard Johnson Long Island City
106,HJLGA826,176.5408163265306,40.83973,-73.88132,40,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Room Service', 'Free Parking', 'Breakfast included', 'Room Service', 'Multilingual Staff', 'Business Center with Internet Access', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave']",Howard Johnson Express Inn Bronx
107,HONYCFQG,254.444,40.76032,-73.98978,99,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge']",The French Quarters Guest Apartments
108,HXEWR112,151.3105084745762,40.61305,-74.17509,33,"['Pool', 'Free Parking', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Free Parking', 'Breakfast included', 'Meeting Rooms', 'Multilingual Staff', 'Conference Facilities', 'Airport Transportation', 'Dry Cleaning', 'Laundry Service', 'Air Conditioning', 'Refrigerator in room', 'Microwave', 'Pool', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool']",Hampton Inn & Suites Staten Island
109,HXNYC144,161.8379365079364,40.66746,-73.79487,91,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Shuttle Bus Service', 'Breakfast included', 'Business Center with Internet Access', 'Airport Transportation', 'Meeting Rooms', 'Laundry Service', 'Multilingual Staff', 'Conference Facilities', 'Dry Cleaning', 'Fitness Center with Gym / Workout Room']",Hampton Inn NY - JFK
110,HXNYC320,269.51655172413786,40.70906,-74.00199,116,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Breakfast included', 'Multilingual Staff', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Fitness Center with Gym / Workout Room']",Hampton Inn Manhattan-Seaport-Financial District
111,HXNYC337,288.63490566037734,40.75633,-73.99303,15,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Fitness Center with Gym / Workout Room']",Hampton Inn Manhattan/Times Square South
112,HXNYC432,289.32466666666653,40.70312,-74.01228,53,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Hampton Inn Manhattan / Downtown - Financial District
113,HXNYC851,271.73803493449793,40.76297,-73.98566,52,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Hampton Inn Manhattan-Times Square North
114,HXNYC897,324.79181818181814,40.75095,-73.97217,79,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Hampton Inn Manhattan Grand Central
115,HXNYC903,223.875375,40.69568,-73.98396,101,"['Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Hampton Inn Brooklyn/Downtown
116,HYLGAZL2,225.7628571428571,40.74817,-73.94127,85,"['$159 - $287 (Based on Average Rates for a Standard Room) ', 'TripAdvisor is proud to partner with Expedia, Travelocity, Hyatt Hotels Corporation, Hotels.com, Orbitz and Booking.com so you can book your Hyatt Place Long Island City / New York City reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers. ', 'United States >', 'New York >', 'Queens >', 'Long Island City ', 'Hyatt Place Long Island City / New York City ']",Hyatt Place Long Island City / New York City
117,HYNYCHHH,440.32363636363647,40.747,-73.98763,110,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Hyatt Herald Square New York
118,HYNYCHNY,510.96460431654646,40.75204,-73.97672,45,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Room Service', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Grand Hyatt New York
119,HYNYCNHR,423.140625,40.74628,-73.9907,55,"['Room Service', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Airport Transportation', 'Breakfast included', 'Laundry Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Refrigerator in room', 'Microwave', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Hyatt House New York/Chelsea
120,HYNYCPNY,2197.5,40.76538,-73.97896,125,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Hot Tub', 'Heated pool', 'Indoor pool']",Park Hyatt New York
121,HYNYCSIM,445.0428571428572,40.7504,-73.98582,61,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Bar/Lounge', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Room Service', 'Airport Transportation', 'Breakfast included', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Dry Cleaning', 'Air Conditioning', 'Refrigerator in room', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Restaurant']",Hyatt Place New York Midtown South
122,HYNYCTSQ,593.5978915662653,40.75757,-73.98403,103,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",Hyatt Centric Times Square New York
123,IQNYC017,200.1764705882353,40.75736,-73.98112,69,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",The Hotel at Times Square
124,IQNYC041,170.0,40.75813,-73.98343,103,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Broadway at Times Square Hotel
125,IQNYCUSM,357.5925925925926,40.73243,-73.99665,56,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Restaurant']",The Marlton Hotel
126,LEJFK129,281.03846153846155,40.70523,-74.00633,58,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Laundry Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave', 'Bar/Lounge']",Eurostars Wall Street
127,LQNYC328,135.46764705882353,40.66904,-73.99303,67,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Business Center with Internet Access', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room']",La Quinta Inn & Suites Brooklyn Downtown
128,LQNYC570,140.91489361702128,40.67861,-73.95014,21,"['Pool', 'Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Business Center with Internet Access', 'Pool', 'Fitness Center with Gym / Workout Room']",La Quinta Inn & Suites Brooklyn Central
129,LQNYC571,189.6886363636364,40.66834,-73.92039,57,['Free High Speed Internet ( WiFi )'],La Quinta Inn & Suites Brooklyn East
130,LQNYC751,202.57142857142858,40.74809,-73.98756,110,"['Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Business Center with Internet Access', 'Airport Transportation', 'Breakfast included', 'Laundry Service', 'Concierge', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",La Quinta Inn & Suites Manhattan
131,LQNYC871,234.27777777777777,40.77626,-73.97762,84,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Air Conditioning']",La Quinta Inn & Suites New York City Central Park
132,LVNYCCLI,304.378431372549,40.74722,-73.98699,110,"['Free High Speed Internet ( WiFi )', 'Laundry Service', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning']",Life Hotel
133,MCLGAAPM,265.68518518518516,40.76901,-73.86847,20,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Shuttle Bus Service', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",New York LaGuardia Airport Marriott
134,MCLGABKM,569.504,40.69384,-73.98916,37,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Concierge', 'Banquet Room', 'Conference Facilities', 'Room Service', 'Laundry Service', 'Multilingual Staff', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Hot Tub', 'Indoor pool', 'Heated pool']",New York Marriott at the Brooklyn Bridge
135,MCNYCEXM,1196.7481818181814,40.76545,-73.97671,97,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Spa', 'Room Service', 'Business Center with Internet Access', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa']",JW Marriott Essex House New York
136,MCNYCWSM,393.01612903225805,40.70975,-74.01468,10,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",New York Marriott Downtown
