start_date,elevation_gain,distance
2020-01-09,221.7847769028871,3.363233715103794
2020-01-24,247.3753280839895,3.406481150083512
2020-01-25,53.14960629921259,1.8638650282351068
2020-02-22,213.5826771653543,3.5702745963572737
2020-03-10,240.81364829396327,2.6073356597470774
2020-03-11,104.98687664041994,0.9692147856517934
2020-03-12,104.65879265091864,0.9879180585381372
2020-03-12,43.30708661417322,1.0037008868209656
2020-03-17,240.15748031496065,2.6125551777618705
2020-03-18,270.99737532808393,3.4812321045096635
2020-03-20,239.1732283464567,2.6207572774994032
2020-03-21,282.48031496062987,3.474148472918158
2020-03-23,273.6220472440945,3.5861195617593253
2020-03-24,273.2939632545932,3.595999363715899
2020-03-26,269.0288713910761,3.0890847450886816
2020-03-27,312.007874015748,3.635642845780641
2020-03-30,316.9291338582677,3.664971566054243
2020-03-31,294.61942257217845,3.317003698401336
2020-04-02,269.3569553805774,3.4583656446353293
2020-04-03,274.2782152230971,3.5035393303109834
2020-04-06,360.56430446194224,4.083030104191521
2020-04-07,328.4120734908136,3.738231229619025
2020-04-09,334.97375328083984,3.887422452875208
2020-04-10,279.8556430446194,3.4466838662212678
2020-04-14,261.48293963254594,3.2132347092977014
2020-04-15,409.12073490813646,5.312910104986876
2020-04-17,369.0944881889764,4.508234411039529
2020-04-20,291.33858267716533,3.5315631710808875
2020-04-21,191.9291338582677,3.905939314403881
2020-04-23,442.257217847769,5.4086012685914255
2020-04-24,356.2992125984252,4.050656665075956
2020-04-27,275.91863517060364,3.442707090590949
2020-04-28,283.1364829396325,4.14491867493836
2020-04-30,792.6509186351706,6.4034786844826215
2020-05-01,291.33858267716533,3.533240873299928
2020-05-04,321.8503937007874,3.3884613855086294
2020-05-05,282.1522309711286,3.9638511095204008
2020-05-07,469.1601049868766,6.315803209257933
2020-05-08,230.6430446194225,4.078556231607413
2020-05-11,242.45406824146983,3.333159349399507
2020-05-12,288.3858267716536,4.00361886582359
2020-05-14,146.6535433070866,6.7319976338185
2020-05-15,253.28083989501312,3.50714328322596
2020-05-21,322.1784776902888,4.472940527320448
2020-05-25,282.8083989501312,3.3866594090511413
2020-05-26,287.4015748031496,4.005731527877197
2020-05-28,463.25459317585296,6.28846287679949
2020-05-29,260.17060367454064,4.046928437922532
2020-06-01,274.2782152230971,3.5283320408812533
2020-06-02,293.6351706036745,4.0223842758291575
2020-06-04,465.2230971128609,6.525640260876481
2020-06-05,270.01312335958005,4.051402310506641
2020-06-08,327.42782152230967,3.9316019446432833
2020-06-09,322.8346456692913,4.46747246082876
2020-06-11,465.8792650918635,6.334506482144277
2020-06-12,273.2939632545932,4.053452835441024
2020-06-16,409.44881889763775,4.41254324743498
2020-06-18,642.7165354330708,6.833653960868528
2020-06-19,237.53280839895007,4.351151773641931
2020-06-22,353.018372703412,4.602993517855722
2020-06-23,331.03674540682414,4.011261731488109
2020-06-25,93.503937007874,6.304183567963095
2020-06-26,237.2047244094488,4.361217986956175
2020-06-29,129.26509186351706,4.38576214904955
2020-06-30,132.54593175853017,4.439448620058856
2020-07-02,220.8005249343832,6.645067804024497
2020-07-03,138.7795275590551,4.628469736737453
2020-07-06,132.8740157480315,4.381971784776903
2020-07-07,133.20209973753282,4.397754613059731
2020-07-09,223.753280839895,6.605424321959754
2020-07-10,140.748031496063,4.707011055436252
2020-07-13,132.54593175853017,4.392224409448819
2020-07-14,134.18635170603673,4.388061222460828
2020-07-16,226.04986876640424,6.465802215064026
2020-07-17,138.45144356955382,4.709558677324425
2020-07-20,324.8031496062992,4.00610435059254
2020-07-21,366.4698162729659,4.581059114769745
2020-07-23,465.2230971128609,6.415346874254355
2020-07-24,236.54855643044613,4.325489143402529
2020-07-27,320.86614173228344,4.085080629125905
2020-07-28,392.3884514435695,4.546821562077467
2020-07-30,474.4094488188976,6.262551698083194
2020-07-31,249.67191601049865,4.958355702696253
2020-08-03,330.7086614173228,4.009211206553726
2020-08-04,362.8608923884514,4.555955718603356
2020-08-06,256.8897637795275,6.763066193430367
2020-08-07,236.8766404199475,4.36761811023622
2020-08-17,329.3963254593176,4.025491131790344
2020-08-18,373.0314960629921,4.518611309949892
2020-08-19,406.8241469816273,6.470524636125029
2020-08-21,277.8871391076115,4.269317187624274
2020-08-24,327.42782152230967,4.085080629125905
2020-08-25,365.485564304462,4.563722858506323
2020-08-27,320.86614173228344,6.373839278612901
2020-08-28,234.251968503937,4.353947944006999
2020-08-31,325.45931758530185,4.013374393541716
2020-09-01,367.1259842519685,4.636299013759643
2020-09-03,465.2230971128609,6.436162809194305
2020-09-04,239.1732283464567,4.339345720989422
2020-09-07,347.7690288713911,4.007657778573133
2020-09-10,48.884514435695536,4.906595482382883
2020-09-19,188.9763779527559,4.74957498210451
2020-09-20,383.8582677165354,7.54537252445717
2020-09-22,332.0209973753281,4.08700687982184
2020-09-23,220.8005249343832,3.8003683488427584
2020-09-26,317.9133858267717,7.802620198043426
2020-09-27,245.4068241469816,4.304611071343355
2020-09-29,279.5275590551181,4.03922343513879
2020-09-30,431.4304461942257,4.446780800127256
2020-10-03,215.22309711286087,7.258796130597311
2020-10-04,235.56430446194224,4.3289066849598345
2020-10-06,351.3779527559055,4.034252465600891
2020-10-07,368.4383202099737,4.566519028871391
2020-10-10,315.28871391076115,7.827785731329039
2020-10-11,236.8766404199475,4.34580798138869
2020-10-13,424.21259842519686,4.165051101566849
2020-10-14,366.4698162729659,4.621883202099737
2020-10-17,313.64829396325456,7.835552871232005
2020-10-18,234.251968503937,4.3307707985365465
2020-10-20,431.1023622047244,4.116024914499324
